time_stamp,Coal,Nuclear,Gas,Oil,Wind,Hydro,Solar
1/1/2018 0:00,48.55,35.53,23.38,1.54,3.91,0.7,0
1/1/2018 1:00,48.06,35.55,22.77,1.56,3.41,1.04,0
1/1/2018 2:00,47.84,35.54,23.32,1.22,3.43,0.35,0
1/1/2018 3:00,46.98,35.53,23.89,1.24,3.43,0.43,0
1/1/2018 4:00,47.04,35.55,24.01,1.47,3.42,0.43,0
1/1/2018 5:00,46.61,35.55,23.9,3.24,3.61,0.71,0
1/1/2018 6:00,45.85,35.54,23.8,4.48,3.58,1.12,0
1/1/2018 7:00,46.29,35.55,24.37,5.17,3.44,1.28,0
1/1/2018 8:00,46.57,35.54,24.78,5.07,3.25,1.21,0.0852
1/1/2018 9:00,46.61,35.54,24.33,5.58,3.04,1.21,0.3557
1/1/2018 10:00,47.3,35.54,24.66,5.21,2.48,1.45,0.4555
1/1/2018 11:00,47.47,35.51,24.36,5.63,2.3,0.83,0.4823
1/1/2018 12:00,47.47,35.52,23.84,3.88,2.37,0.88,0.4859
1/1/2018 13:00,47.58,35.55,23.82,4,2.4,0.77,0.4507
1/1/2018 14:00,46.24,35.54,23.52,3.98,2.79,0.39,0.3789
1/1/2018 15:00,46.98,35.52,24.19,3.95,2.83,0.53,0.2416
1/1/2018 16:00,46.61,35.53,25.52,3.85,3.16,0.6,0.0357
1/1/2018 17:00,47.67,35.53,29.29,5.96,3.27,2.92,0
1/1/2018 18:00,47.16,35.54,31.7,6.17,3.74,3.3,0
1/1/2018 19:00,46.12,35.55,33.36,6.86,3.98,3.49,0
1/1/2018 20:00,46.47,35.54,31.76,6.82,4.17,3.25,0
1/1/2018 21:00,46.56,35.54,31.31,6.3,4.11,2.03,0
1/1/2018 22:00,46.8,35.55,29.05,5.87,3.9,1.69,0
1/1/2018 23:00,46.58,35.54,26.63,4.66,3.52,0.95,0
1/2/2018 0:00,45.97,35.56,24.87,3.3,3.16,0.49,0
1/2/2018 1:00,45.71,35.55,25.66,3.23,3.05,1.26,0
1/2/2018 2:00,46.17,35.55,25.98,3.51,2.98,1.25,0
1/2/2018 3:00,45.82,35.56,26.94,4.01,2.78,1.24,0
1/2/2018 4:00,46.06,35.54,25.82,5.23,2.53,1.1,0
1/2/2018 5:00,46.37,35.53,27.12,5.67,2.55,1.18,0
1/2/2018 6:00,46.69,35.55,30.2,7.55,2.54,4.01,0
1/2/2018 7:00,47.34,35.55,31.08,10.06,2.6,5.39,0
1/2/2018 8:00,47.35,35.55,31.29,10.97,2.66,5.45,0.1231
1/2/2018 9:00,47.2,35.56,30.41,10.35,2.95,2.71,0.4302
1/2/2018 10:00,48.01,35.55,29.56,8.27,2.76,1.98,0.5278
1/2/2018 11:00,47.61,35.56,28.81,7.55,2.33,1.13,0.567
1/2/2018 12:00,47.39,35.55,28.2,7.08,2.14,0.4,0.5845
1/2/2018 13:00,46.83,35.54,26.75,6.24,2.17,0.55,0.5705
1/2/2018 14:00,46.76,35.54,26.9,4.68,2.5,0.5,0.4995
1/2/2018 15:00,47.1,35.53,27.35,4.82,2.7,0.53,0.3342
1/2/2018 16:00,47.12,35.53,28.17,4.92,2.86,1.23,0.053
1/2/2018 17:00,47.04,35.52,30.1,7.2,3.57,1.96,0
1/2/2018 18:00,46.95,35.52,32.67,7.51,4.95,2.54,0
1/2/2018 19:00,47.1,35.51,32.28,7.94,5.53,2.19,0
1/2/2018 20:00,47.68,35.53,33.32,6.69,5.73,2.13,0
1/2/2018 21:00,47.59,35.52,32.76,6.43,5.99,1.07,0
1/2/2018 22:00,47.29,35.53,28.67,5.48,5.87,0.39,0
1/2/2018 23:00,47.55,35.52,26.68,4.06,5.3,0.42,0
1/3/2018 0:00,46.54,35.54,25.25,3.62,5.42,0.31,0
1/3/2018 1:00,46.19,35.51,24.35,3.32,5.54,0.31,0
1/3/2018 2:00,45.76,35.53,24.21,3.33,5.38,0.3,0
1/3/2018 3:00,45.05,35.52,24.84,3.34,5.06,1.29,0
1/3/2018 4:00,45.69,35.54,26.47,3.82,4.48,1.32,0
1/3/2018 5:00,45.97,35.54,27.41,4.58,4.45,1.21,0
1/3/2018 6:00,46.59,35.54,28.97,7.52,4.13,4.11,0
1/3/2018 7:00,46.35,35.55,30.13,10.76,4.03,4.98,0
1/3/2018 8:00,46.94,35.54,30.91,9.24,3.46,4.8,0.1178
1/3/2018 9:00,47.12,35.56,30.03,7.73,3.14,2.95,0.2479
1/3/2018 10:00,47.37,35.54,29.3,6.89,3.35,1.26,0.3917
1/3/2018 11:00,47.11,35.52,28.73,5.4,3.14,0.4,0.3646
1/3/2018 12:00,47.21,35.53,26.59,4.76,3.43,0.32,0.4266
1/3/2018 13:00,47.39,35.53,26.07,4.15,3.76,0.32,0.3055
1/3/2018 14:00,47.02,35.52,25.33,3.54,3.67,0.32,0.204
1/3/2018 15:00,46.87,35.52,25.71,3.94,3.45,0.32,0.0712
1/3/2018 16:00,47.14,35.52,26.12,4.96,3.38,0.58,0.0015
1/3/2018 17:00,47.63,35.51,28.52,5.95,3.51,1.39,0
1/3/2018 18:00,48.01,35.49,29.08,6.28,3.87,1.84,0
1/3/2018 19:00,48.29,35.51,28.82,5.19,4.06,1.73,0
1/3/2018 20:00,48.7,35.44,28.01,5.41,3.88,1.31,0
1/3/2018 21:00,49.17,35.5,25.81,4.68,3.75,0.42,0
1/3/2018 22:00,49.67,35.51,22.11,4.25,3.99,0.3,0
1/3/2018 23:00,49.46,35.52,20.39,3.81,3.82,0.3,0
1/4/2018 0:00,48.34,35.52,18.76,2.6,3.83,0.3,0
1/4/2018 1:00,48.98,35.53,18.47,2.57,4.61,0.3,0
1/4/2018 2:00,48.97,35.5,18.67,2.5,4.58,0.3,0
1/4/2018 3:00,49.24,35.51,18.84,2.51,4.43,0.3,0
1/4/2018 4:00,49.03,35.53,20.35,2.8,4.54,0.29,0
1/4/2018 5:00,48.12,35.54,19.96,3.26,4.71,0.29,0
1/4/2018 6:00,49.11,35.53,23.12,4.27,4.69,1.42,0
1/4/2018 7:00,49.48,35.52,26.41,6.02,4.8,1.89,0
1/4/2018 8:00,49.23,35.51,27.62,6.67,4.81,1.48,0.0387
1/4/2018 9:00,49.52,35.53,28.78,5.93,4.4,1.32,0.1055
1/4/2018 10:00,49.34,35.52,30.43,5.27,3.86,1.58,0.1303
1/4/2018 11:00,49.34,35.5,29.92,4.81,3.4,1,0.1479
1/4/2018 12:00,49.41,35.5,28.42,5.95,3.13,0.43,0.1585
1/4/2018 13:00,49.17,35.49,26.75,6.84,3.06,0.42,0.1858
1/4/2018 14:00,49.31,35.5,26.09,6.72,3.34,0.41,0.1581
1/4/2018 15:00,49.83,35.5,25.19,6.74,3.54,0.45,0.1122
1/4/2018 16:00,50.01,35.49,25.56,7.14,3.8,0.78,0.0395
1/4/2018 17:00,50.38,35.5,28.13,8.8,4.1,2.69,0
1/4/2018 18:00,50.67,35.51,28.98,9.26,4.36,3.57,0
1/4/2018 19:00,50.81,35.51,29.17,9.28,4.33,2.84,0
1/4/2018 20:00,50.78,35.52,29.07,8.98,4.48,2.17,0
1/4/2018 21:00,50.11,35.53,27.82,8.32,4.48,1.65,0
1/4/2018 22:00,49.81,35.53,24.94,7.33,4.37,1.34,0
1/4/2018 23:00,49.58,35.52,23.29,7.22,3.94,0.79,0
1/5/2018 0:00,49.54,35.53,23.83,4.97,3.65,0.61,0
1/5/2018 1:00,49.25,35.54,24.03,5.41,3.56,0.62,0
1/5/2018 2:00,48.83,35.54,24.27,6.23,3.41,0.89,0
1/5/2018 3:00,48.36,35.55,24.11,6.85,3.27,0.55,0
1/5/2018 4:00,48.26,35.43,24.03,7.35,3.37,0.54,0
1/5/2018 5:00,48.92,35.48,23.09,8.5,3.42,1.48,0
1/5/2018 6:00,49.34,35.54,24.05,10.42,3.39,4.07,0
1/5/2018 7:00,50.25,35.53,28.13,12.58,3.14,4.11,0
1/5/2018 8:00,50.25,35.54,28.62,12.75,3.08,2.97,0.0903
1/5/2018 9:00,50.57,35.53,28.01,11.99,3.07,1.73,0.3562
1/5/2018 10:00,50.83,35.54,28.01,10.71,2.99,1.7,0.4494
1/5/2018 11:00,50.7,35.54,26.76,10.19,3.02,0.97,0.4804
1/5/2018 12:00,50.39,35.55,26.49,10.18,2.88,0.62,0.4787
1/5/2018 13:00,50.02,35.54,25.93,9.4,2.83,0.6,0.4852
1/5/2018 14:00,50.35,35.53,25.65,8.15,2.94,0.42,0.439
1/5/2018 15:00,50.33,35.53,26.66,8.43,2.99,0.51,0.3064
1/5/2018 16:00,50.05,35.54,28.77,8.89,2.82,1.2,0.0526
1/5/2018 17:00,50.52,35.51,30.24,11.53,2.87,3.96,0
1/5/2018 18:00,50.68,35.51,30.88,13.96,3.03,3.06,0
1/5/2018 19:00,50.83,35.51,30.13,12.84,3.29,2.71,0
1/5/2018 20:00,50.94,35.52,29.66,12.5,3.48,1.42,0
1/5/2018 21:00,50.27,35.53,28.61,12.42,3.73,0.85,0
1/5/2018 22:00,49.58,35.53,27.2,11.5,3.72,0.6,0
1/5/2018 23:00,48.89,35.53,25.45,10.2,3.57,0.5,0
1/6/2018 0:00,48.14,35.53,23.36,8.25,3.07,0.51,0
1/6/2018 1:00,47.53,35.54,22.13,7.26,2.82,0.29,0
